feature_id,section_id,center_lon,center_lat,utm_epsg,target_year_now,target_year_past,now_dataset,now_year_used,now_images_in_year,now_distance_m,now_tree_lon,now_tree_lat,now_line_lon,now_line_lat,now_ntrees,past_dataset,past_year_used,past_images_in_year,past_distance_m,past_tree_lon,past_tree_lat,past_line_lon,past_line_lat,past_ntrees,delta_distance_m
51686,5,-81.04882125610324,34.000623956257904,EPSG:32617,2026,2025,NAIP,2023,2,1.397009405155738,-81.04874497043974,34.00072910983071,-81.04874890563843,34.00074127558683,9,NAIP,2021,2,9.908278792429208,-81.04856501094908,34.0001570854197,-81.04867043413718,34.00014047417789,7,8.511269387273469
51687,3,-81.05072431884685,34.00349408285065,EPSG:32617,2026,2025,NAIP,2023,1,0.3838984439391658,-81.05030766474287,34.00361001379771,-81.0503090193056,34.00361328719822,44,NAIP,2021,1,1.057750415640133,-81.05031323436245,34.003601986947054,-81.05031696657207,34.00361100610494,26,0.6738519717009672
51966,11,-80.9543832350193,33.9940336377798,EPSG:32617,2026,2025,NAIP,2023,1,9.183121611221951,-80.9545472478279,33.99368586882785,-80.95444894287583,33.99367342770624,67,NAIP,2021,1,5.613180789419742,-80.95437247801742,33.993755596456204,-80.95443256694237,33.99376320113531,75,-3.5699408218022093
51967,12,-80.98066058271496,34.037799994510934,EPSG:32617,2026,2025,NAIP,2023,1,3.513578702970433,-80.98053224492746,34.037840894675995,-80.98055516725636,34.0378661929572,29,NAIP,2021,1,1.6431101120010383,-80.98058769381423,34.03786432941273,-80.98057697427879,34.03785249878267,62,-1.8704685909693946
51968,15,-80.96982295052332,34.00873781379383,EPSG:32617,2026,2025,NAIP,2023,1,3.2732304231983473,-80.9697956160725,34.008762306673354,-80.96982911576265,34.00875265394876,22,NAIP,2021,1,6.037722263037862,-80.9697420129543,34.008376467235905,-80.96968022047854,34.00839427237028,43,2.764491839839515
51969,11,-80.98980125007455,34.02002230246408,EPSG:32617,2026,2025,NAIP,2023,1,2.245761053163516,-80.98975407813565,34.019818508561535,-80.98977829794472,34.019816634515344,17,NAIP,2021,1,17.589365543830027,-80.98965316068205,34.0204098162377,-80.98984285762407,34.020395138266004,22,15.343604490666511
51970,0,-80.95625361200675,33.97189816076603,EPSG:32617,2026,2025,NAIP,2023,1,0.35066010519151547,-80.95665057915036,33.9720493954325,-80.9566505791504,33.972046232843184,8,NAIP,2021,1,28.21302311266914,-80.95668827657232,33.97229873914261,-80.9566505791504,33.972046232843184,3,27.862363007477626
51971,1,-80.99045186112018,34.02059664858732,EPSG:32617,2026,2025,NAIP,2023,1,14.111435360186158,-80.99069020399246,34.02075637003466,-80.99071372983713,34.020630617186654,9,NAIP,2021,1,0.22419081351633288,-80.99021863479105,34.02056435060822,-80.99021826102113,34.02056634846403,20,-13.887244546669825
51972,8,-81.00259625474389,34.030970685771145,EPSG:32617,2026,2025,NAIP,2023,2,2.943175851260169,-81.00223672072852,34.03079936419841,-81.00222306029454,34.030823348340114,62,NAIP,2021,2,4.359611153550529,-81.00263944274101,34.031031253433554,-81.00265967728009,34.03099572659561,81,1.4164353022903597
51973,0,-81.00352666892299,34.031342851187766,EPSG:32617,2026,2025,NAIP,2023,1,10.477862247873546,-81.00314007224944,34.03109088746231,-81.0031400722582,34.0311853859876,37,NAIP,2021,1,8.483783242012112,-81.00306237361083,34.03122624784543,-81.0031400722582,34.0311853859876,59,-1.9940790058614333
